model,ablation,question_id,meta_info,dss,correct_alpha,correct_beta,correct_gamma,correct_answer,final_alpha,final_beta,final_gamma
biomistral,full,MQ_0594,step2&3,0.4605,False,False,False,C,A,A,A
biomistral,full,MQ_0074,step2&3,0.4764,False,False,False,C,A,A,A
biomistral,full,MQ_0185,step2&3,0.5132,False,False,False,D,A,A,A
biomistral,full,MQ_0868,step1,0.5203,False,False,False,B,D,A,A
biomistral,full,MQ_0961,step2&3,0.5283,True,True,True,A,A,A,A
biomistral,full,MQ_0703,step2&3,0.5346,False,False,False,D,A,A,A
biomistral,full,MQ_0401,step1,0.5552,True,True,True,A,A,A,A
biomistral,full,MQ_0754,step2&3,0.5562,True,True,True,A,A,A,A
biomistral,full,MQ_0512,step2&3,0.5588,False,False,False,B,A,A,A
biomistral,full,MQ_0633,step1,0.5668,False,False,False,D,A,A,A
biomistral,full,MQ_0454,step1,0.5744,False,False,False,B,A,A,A
biomistral,full,MQ_0935,step1,0.5785,True,True,True,A,A,A,A
biomistral,full,MQ_0571,step1,0.5792,False,False,False,B,A,A,A
biomistral,full,MQ_0008,step2&3,0.5849,False,False,False,B,A,A,A
biomistral,full,MQ_0528,step1,0.5861,False,False,False,C,A,D,A
biomistral,full,MQ_0345,step2&3,0.5998,True,True,True,A,A,A,A
biomistral,full,MQ_0865,step2&3,0.6016,True,True,True,A,A,A,A
biomistral,full,MQ_0906,step2&3,0.6044,False,False,False,B,A,A,A
biomistral,full,MQ_0803,step2&3,0.6117,False,False,False,B,A,A,A
biomistral,full,MQ_0581,step1,0.6137,False,False,False,D,A,A,A
biomistral,full,MQ_0057,step2&3,0.6174,False,False,False,B,A,A,A
biomistral,full,MQ_0440,step2&3,0.6185,False,False,False,B,A,A,A
biomistral,full,MQ_0922,step1,0.6238,True,True,True,A,A,A,A
biomistral,full,MQ_0104,step1,0.6241,False,False,False,C,A,A,A
biomistral,full,MQ_0970,step1,0.6296,False,False,False,D,A,A,A
biomistral,full,MQ_0131,step2&3,0.6303,False,False,False,B,A,A,A
biomistral,full,MQ_0262,step2&3,0.6338,True,True,True,A,A,A,A
biomistral,full,MQ_0112,step2&3,0.6417,False,False,False,C,A,A,A
biomistral,full,MQ_0484,step2&3,0.643,True,True,True,A,A,A,A
biomistral,full,MQ_0554,step1,0.645,True,True,True,A,A,A,A
biomistral,full,MQ_0028,step2&3,0.6488,False,False,False,D,A,A,A
biomistral,full,MQ_0130,step2&3,0.6518,False,False,False,C,A,A,A
biomistral,full,MQ_0326,step2&3,0.6547,False,False,False,B,C,A,A
biomistral,full,MQ_0350,step2&3,0.6598,False,False,False,D,A,A,A
biomistral,full,MQ_0257,step2&3,0.6633,False,False,False,B,A,A,A
biomistral,full,MQ_0196,step2&3,0.6636,True,True,True,A,A,A,A
biomistral,full,MQ_0889,step2&3,0.665,False,False,False,D,A,A,A
biomistral,full,MQ_0869,step1,0.6667,True,True,True,A,A,A,A
biomistral,full,MQ_0778,step2&3,0.6716,True,True,True,A,A,A,A
biomistral,full,MQ_0791,step2&3,0.6719,False,False,False,B,A,A,A
biomistral,full,MQ_0078,step1,0.673,True,True,True,A,A,A,A
biomistral,full,MQ_0832,step2&3,0.6735,True,True,True,C,C,C,C
biomistral,full,MQ_0678,step2&3,0.6759,True,True,True,A,A,A,A
biomistral,full,MQ_0876,step2&3,0.6786,False,False,False,D,A,A,A
biomistral,full,MQ_0903,step1,0.6797,False,False,False,D,A,A,A
biomistral,full,MQ_0819,step1,0.6813,True,True,True,B,B,B,B
biomistral,full,MQ_0575,step2&3,0.682,True,True,True,A,A,A,A
biomistral,full,MQ_0665,step1,0.6836,False,False,False,B,A,A,A
biomistral,full,MQ_0198,step1,0.6837,False,False,False,C,A,A,A
biomistral,full,MQ_0902,step2&3,0.6842,False,False,False,D,A,A,A
biomistral,full,MQ_0592,step2&3,0.6884,False,False,False,C,A,A,A
