model,question_id,dss,correct_alpha,correct_beta,correct_gamma,correct_answer
biomistral,MQ_0230,0.1051,False,False,False,B
biomistral,MQ_0932,0.1551,False,True,True,A
biomistral,MQ_0431,0.1585,True,False,False,D
biomistral,MQ_0379,0.1586,False,False,True,D
biomistral,MQ_0999,0.1856,False,True,False,A
biomistral,MQ_0693,0.2056,False,True,False,B
biomistral,MQ_0053,0.2168,False,False,False,C
biomistral,MQ_0685,0.2289,False,False,False,C
biomistral,MQ_0330,0.231,False,False,False,B
biomistral,MQ_0421,0.2516,True,False,False,A
biomistral,MQ_0454,0.2586,False,False,False,B
biomistral,MQ_0186,0.2697,False,False,False,B
biomistral,MQ_0150,0.2722,True,False,False,D
biomistral,MQ_0262,0.2737,False,True,False,A
biomistral,MQ_0054,0.2748,False,False,True,B
biomistral,MQ_0863,0.2755,True,True,False,A
biomistral,MQ_0214,0.2768,False,False,False,C
biomistral,MQ_0788,0.2788,False,True,False,C
biomistral,MQ_0442,0.283,False,False,False,B
biomistral,MQ_0086,0.2892,False,False,False,B
biomistral,MQ_0305,0.2908,True,False,False,C
biomistral,MQ_0741,0.2945,False,False,False,C
biomistral,MQ_0456,0.2952,False,True,False,B
biomistral,MQ_0638,0.2953,False,True,False,D
biomistral,MQ_0837,0.297,False,True,False,B
biomistral,MQ_0642,0.2981,False,False,False,C
biomistral,MQ_0135,0.3002,False,False,False,B
biomistral,MQ_0464,0.3046,False,False,True,D
biomistral,MQ_0312,0.3057,False,True,False,B
biomistral,MQ_0415,0.3057,True,True,False,C
biomistral,MQ_0573,0.3073,False,False,False,C
biomistral,MQ_0160,0.3078,True,False,True,D
biomistral,MQ_0418,0.3081,False,False,False,C
biomistral,MQ_0681,0.3116,True,True,False,B
biomistral,MQ_0834,0.3119,True,False,False,C
biomistral,MQ_0453,0.3125,False,True,False,A
biomistral,MQ_0202,0.3148,True,False,False,B
biomistral,MQ_0614,0.3151,True,False,False,C
biomistral,MQ_0236,0.3165,False,True,True,A
biomistral,MQ_0657,0.321,True,False,False,B
biomistral,MQ_0395,0.3248,False,True,False,B
biomistral,MQ_0877,0.3249,False,True,True,A
biomistral,MQ_0631,0.3253,False,False,False,D
biomistral,MQ_0947,0.3258,True,False,True,B
biomistral,MQ_0878,0.3259,False,True,False,C
biomistral,MQ_0597,0.3262,False,True,True,D
biomistral,MQ_0458,0.3294,False,False,False,B
biomistral,MQ_0615,0.3315,True,False,False,C
biomistral,MQ_0572,0.3325,False,False,True,B
biomistral,MQ_0465,0.3335,False,False,True,A
biomistral,MQ_0195,0.3341,False,False,False,C
biomistral,MQ_0023,0.3358,False,True,True,A
biomistral,MQ_0630,0.3379,False,True,False,B
biomistral,MQ_0734,0.3379,False,True,False,C
biomistral,MQ_0833,0.3391,False,True,True,D
biomistral,MQ_0888,0.3398,False,True,True,A
biomistral,MQ_0775,0.3415,False,True,False,A
biomistral,MQ_0680,0.3438,True,False,False,C
biomistral,MQ_0605,0.345,False,False,False,B
biomistral,MQ_0292,0.3464,True,True,False,C
biomistral,MQ_0333,0.3487,False,True,False,C
biomistral,MQ_0182,0.3489,True,False,True,C
biomistral,MQ_0666,0.3492,False,True,True,C
biomistral,MQ_0787,0.3504,True,False,False,D
biomistral,MQ_0688,0.351,False,False,False,B
biomistral,MQ_0436,0.3515,False,True,True,A
biomistral,MQ_0322,0.3524,True,False,False,B
biomistral,MQ_0094,0.3542,False,False,False,C
biomistral,MQ_0595,0.3552,True,True,False,D
biomistral,MQ_0557,0.3592,False,True,False,A
biomistral,MQ_0629,0.3594,False,False,False,D
biomistral,MQ_0030,0.3602,True,False,False,D
biomistral,MQ_0946,0.3608,False,True,False,D
biomistral,MQ_0468,0.3614,False,False,False,A
biomistral,MQ_0943,0.3616,True,True,False,B
biomistral,MQ_0784,0.3632,False,False,False,A
biomistral,MQ_0586,0.3657,False,False,False,A
biomistral,MQ_0109,0.3675,True,False,False,B
biomistral,MQ_0018,0.3678,False,False,False,D
biomistral,MQ_0056,0.3688,True,True,False,A
biomistral,MQ_0806,0.3695,False,True,False,C
biomistral,MQ_0544,0.3699,False,False,False,A
biomistral,MQ_0814,0.3714,False,True,True,D
biomistral,MQ_0991,0.3714,False,True,True,B
biomistral,MQ_0702,0.3717,False,False,True,B
biomistral,MQ_0779,0.372,False,False,False,C
biomistral,MQ_0480,0.376,False,False,False,B
biomistral,MQ_0721,0.3761,False,False,True,D
biomistral,MQ_0622,0.3762,False,False,False,B
biomistral,MQ_0067,0.3766,False,True,False,B
biomistral,MQ_0127,0.3774,False,False,False,B
biomistral,MQ_0052,0.3788,False,False,True,D
biomistral,MQ_0452,0.379,True,False,False,D
biomistral,MQ_0260,0.3799,False,True,True,A
biomistral,MQ_0408,0.3799,True,False,False,D
biomistral,MQ_0539,0.3799,False,False,False,C
biomistral,MQ_0971,0.38,True,False,True,D
biomistral,MQ_0496,0.3809,True,False,False,B
biomistral,MQ_0549,0.3811,True,False,False,B
biomistral,MQ_0441,0.3814,True,False,True,C
biomistral,MQ_0398,0.3849,False,False,False,A
biomistral,MQ_0914,0.3849,True,False,False,B
biomistral,MQ_0598,0.3852,True,False,True,B
biomistral,MQ_0672,0.3872,False,True,True,B
